,Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
5020,юр. лицо,списание средств,158.93,наличный,Минск,Белинвестбанк-UHLJ-562,04-06-2002,23:47:12,недостаточно средств,нет,0.0
5032,физ. лицо,списание средств,4416.31,наличный,Минск,МаксБанк-HQDV-850,30-09-2023,23:16:30,недостаточно средств,нет,0.0
5036,юр. лицо,получение средств,3873.7,наличный,Брест,Беларусбанк-BVQP-823,20-04-2019,23:13:28,успешно,нет,0.0
5042,физ. лицо,получение средств,419.7,наличный,Минск,Беларусбанк-UDWB-417,30-09-2011,23:21:23,успешно,нет,0.0
5056,юр. лицо,получение средств,1366.99,наличный,Брест,Белинвестбанк-SOZT-089,21-05-2024,23:51:51,успешно,нет,0.0
5079,физ. лицо,получение средств,1718.83,безналичный,Витебск,Белинвестбанк-MCVX-463,16-11-2023,23:24:51,успешно,нет,0.0
5099,юр. лицо,списание средств,931.32,наличный,Могилев,Приорбанк-CNTO-030,26-03-2001,23:21:43,недостаточно средств,да,92.14
5125,юр. лицо,получение средств,3301.52,безналичный,Могилев,Беларусбанк-JFNH-794,02-10-2012,23:40:19,успешно,нет,0.0
5133,физ. лицо,получение средств,4998.33,безналичный,Гомель,БелАгропромбанк-CXJU-333,29-04-2012,23:49:11,успешно,нет,0.0
5147,юр. лицо,списание средств,4987.46,наличный,Минск,Приорбанк-PXSB-903,30-05-2000,23:57:53,успешно,нет,0.0
5246,физ. лицо,получение средств,1488.41,безналичный,Гродно,МаксБанк-HQIX-944,26-11-2004,23:53:11,успешно,нет,0.0
5265,физ. лицо,получение средств,2628.3,наличный,Минск,Белинвестбанк-KOHZ-373,18-08-2014,23:48:44,успешно,нет,0.0
5270,физ. лицо,списание средств,4509.55,наличный,Минск,Беларусбанк-TOGA-557,17-11-2011,23:03:45,недостаточно средств,да,227.65
5299,юр. лицо,получение средств,3205.01,наличный,Витебск,Приорбанк-NDFN-380,16-12-2015,23:26:11,успешно,нет,0.0
5325,юр. лицо,получение средств,2379.6,безналичный,Могилев,Беларусбанк-ICIE-109,28-11-2010,23:56:36,успешно,нет,0.0
5328,юр. лицо,получение средств,1543.13,наличный,Витебск,БелАгропромбанк-POEQ-744,02-02-2007,23:50:27,успешно,нет,0.0
5359,юр. лицо,списание средств,328.64,безналичный,Могилев,Приорбанк-QXZT-160,04-11-2013,23:31:23,успешно,нет,0.0
5473,юр. лицо,получение средств,2430.14,наличный,Минск,Беларусбанк-XHTE-304,30-09-2024,23:09:31,успешно,нет,0.0
5524,физ. лицо,получение средств,1762.15,наличный,Гродно,БелАгропромбанк-GTTM-032,22-01-2003,23:09:45,успешно,нет,0.0
5547,юр. лицо,получение средств,1852.12,безналичный,Минск,Белинвестбанк-UJMS-216,22-11-2014,23:11:10,успешно,нет,0.0
5551,юр. лицо,получение средств,4735.68,наличный,Брест,МаксБанк-LELS-510,16-01-2019,23:22:22,успешно,нет,0.0
5553,юр. лицо,списание средств,4806.04,наличный,Брест,Приорбанк-YGWF-686,04-01-2012,23:49:44,успешно,да,318.63
5578,физ. лицо,списание средств,190.4,наличный,Гомель,БелАгропромбанк-EFQU-303,15-11-2013,23:15:27,неправильный ввод пин-кода,да,13.32
5594,физ. лицо,списание средств,4035.39,безналичный,Гомель,МаксБанк-BXYP-686,17-02-2006,23:43:51,неправильный ввод пин-кода,да,318.58
5617,физ. лицо,получение средств,1972.72,наличный,Брест,БелАгропромбанк-KHSL-787,12-08-2010,23:20:36,успешно,нет,0.0
5629,физ. лицо,получение средств,2609.34,безналичный,Витебск,БелАгропромбанк-ALQU-858,23-12-2014,23:05:28,успешно,нет,0.0
5667,физ. лицо,получение средств,2571.28,наличный,Минск,Беларусбанк-LFTF-401,13-10-2022,23:32:15,успешно,нет,0.0
5729,юр. лицо,получение средств,1992.98,наличный,Гомель,Белинвестбанк-GMSN-289,18-10-2023,23:44:12,успешно,нет,0.0
5739,юр. лицо,получение средств,2822.23,наличный,Гомель,Беларусбанк-LVDW-501,04-10-2020,23:28:58,успешно,нет,0.0
5745,юр. лицо,списание средств,4035.76,наличный,Гомель,МаксБанк-UPRN-317,03-09-2002,23:26:47,недостаточно средств,нет,0.0
5806,юр. лицо,списание средств,4831.78,наличный,Гомель,Приорбанк-DSIO-005,23-08-2014,23:29:58,неправильный ввод пин-кода,нет,0.0
5892,физ. лицо,списание средств,4616.82,наличный,Витебск,Белинвестбанк-BKSF-669,16-03-2009,23:58:09,недостаточно средств,нет,0.0
5894,физ. лицо,получение средств,4450.74,наличный,Минск,Белинвестбанк-GFGK-374,12-01-2005,23:23:42,успешно,нет,0.0
5908,юр. лицо,списание средств,3885.94,наличный,Могилев,Беларусбанк-PCPW-800,16-12-2010,23:34:42,успешно,да,206.19
5951,физ. лицо,списание средств,3719.83,наличный,Гродно,БелАгропромбанк-KNLF-500,11-09-2007,23:11:54,успешно,нет,0.0
5991,юр. лицо,списание средств,269.98,наличный,Могилев,Приорбанк-FPMF-757,18-06-2022,23:15:38,неправильный ввод пин-кода,да,26.18
5998,юр. лицо,получение средств,201.47,безналичный,Витебск,Приорбанк-SHSU-699,08-09-2002,23:03:26,успешно,нет,0.0
6080,юр. лицо,списание средств,4687.63,безналичный,Гродно,Беларусбанк-UZMU-763,25-08-2009,23:43:14,недостаточно средств,нет,0.0
6102,физ. лицо,списание средств,3999.72,наличный,Гомель,Беларусбанк-FEJM-231,06-12-2019,23:10:18,успешно,нет,0.0
6190,физ. лицо,списание средств,3385.55,наличный,Витебск,МаксБанк-XAEE-002,01-03-2003,23:38:54,недостаточно средств,да,73.46
6212,физ. лицо,списание средств,881.76,безналичный,Брест,Приорбанк-HKEN-655,15-06-2019,23:08:53,успешно,да,34.84
6242,физ. лицо,получение средств,4271.19,наличный,Минск,БелАгропромбанк-VSWU-832,18-01-2016,23:00:28,успешно,нет,0.0
6259,физ. лицо,списание средств,3390.46,безналичный,Гродно,Белинвестбанк-HJWP-787,23-02-2005,23:12:44,успешно,нет,0.0
6308,физ. лицо,списание средств,327.58,наличный,Минск,Беларусбанк-ZCRE-333,17-07-2017,23:05:56,недостаточно средств,нет,0.0
6310,юр. лицо,списание средств,3501.67,наличный,Минск,БелАгропромбанк-WUIH-895,21-10-2024,23:32:03,неправильный ввод пин-кода,да,142.56
6343,физ. лицо,получение средств,574.28,безналичный,Могилев,Белинвестбанк-DOOX-140,19-04-2013,23:09:56,успешно,нет,0.0
6353,юр. лицо,списание средств,2055.95,безналичный,Минск,БелАгропромбанк-OZCS-235,19-11-2011,23:02:06,неправильный ввод пин-кода,да,185.26
6356,юр. лицо,списание средств,4689.97,наличный,Брест,Белинвестбанк-HCHV-450,19-11-2007,23:48:18,неправильный ввод пин-кода,да,431.52
